Plant_ID,Category,Common_Name,Green_Acres_URL,Estimate_Confidence,Needs_Green_Acres_Source,Green_Acres_Source_Need_Reason,Mature_Height_ft_est,Mature_Width_ft_est,High_Confidence_Fields,Knowledge_Notes
1,ANNUALS,Alyssum,https://idiggreenacres.com/products/alyssum?variant=13996299354164,High-confidence estimate,FALSE,,0.5,1,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Annual type matched.
16,ANNUALS,Marigold,https://idiggreenacres.com/products/marigold?variant=39340894650537,High-confidence estimate,FALSE,,1.5,1,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Annual type matched.
17,ANNUALS,Mojave Series Purslane,https://idiggreenacres.com/products/mojave-series-purslane?variant=47034993934505,High-confidence estimate,FALSE,,0.5,1.5,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Annual type matched.
18,ANNUALS,Nasturtium,https://idiggreenacres.com/products/nasturtium?variant=28603415658548,High-confidence estimate,FALSE,,1,3,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Annual type matched.
19,ANNUALS,New Guinea Impatiens,https://idiggreenacres.com/products/new-guinea-impatiens?variant=14615194337332,High-confidence estimate,FALSE,,1.5,1.5,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Annual type matched.
20,ANNUALS,Petunia,https://idiggreenacres.com/products/petunia?variant=43810768421033,High-confidence estimate,FALSE,,1,2.5,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Annual type matched.
21,ANNUALS,Pocketbook Flower,https://idiggreenacres.com/products/pocketbook-flower?variant=14642797740084,Low guesstimate,FALSE,,1.5,1.5,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Annual category only. Exact size needs source. | Broad annual category fallback. Verify exact mature size.
22,ANNUALS,Purslane,https://idiggreenacres.com/products/purslane-1?variant=40975006728361,High-confidence estimate,FALSE,,0.5,1.5,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Annual type matched.
23,ANNUALS,Purslane,https://idiggreenacres.com/products/purslane?variant=31577603932183,High-confidence estimate,FALSE,,0.5,1.5,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Annual type matched.
24,ANNUALS,Red Hot Sally Sage,https://idiggreenacres.com/products/red-hot-sally-sage?variant=28734737154100,Low guesstimate,FALSE,,1.5,1.5,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Annual category only. Exact size needs source. | Broad annual category fallback. Verify exact mature size.
25,ANNUALS,Sage Victoria Blue,https://idiggreenacres.com/products/sage-victoria-blue?variant=39608511627433,Low guesstimate,FALSE,,1.5,1.5,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Annual category only. Exact size needs source. | Broad annual category fallback. Verify exact mature size.
26,ANNUALS,Soiree Kawaii Series Vinca,https://idiggreenacres.com/products/soiree-kawaii-174-series-vinca?variant=45406373839017,High-confidence estimate,FALSE,,1,1.5,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Annual type matched.
27,ANNUALS,Star Clusters,https://idiggreenacres.com/products/star-clusters?variant=28826734788660,Low guesstimate,FALSE,,1.5,1.5,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Annual category only. Exact size needs source. | Broad annual category fallback. Verify exact mature size.
28,ANNUALS,Sunbelievable Sunflower Monrovia,https://idiggreenacres.com/products/sunbelievable-8482-sunflower-monrovia?variant=29243051180084,High-confidence estimate,FALSE,,5,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Annual type matched.
29,ANNUALS,Suncredible Yellow Sunflower,https://idiggreenacres.com/products/suncredible-174-yellow-sunflower?variant=45991884783785,High-confidence estimate,FALSE,,5,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Annual type matched.
30,ANNUALS,Sunflower,https://idiggreenacres.com/products/sunflower?variant=28882876465204,High-confidence estimate,FALSE,,5,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Annual type matched.
31,ANNUALS,Sunpatiens,https://idiggreenacres.com/products/sunpatiens?variant=31664927014935,Low guesstimate,FALSE,,1.5,1.5,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Annual category only. Exact size needs source. | Broad annual category fallback. Verify exact mature size.
32,ANNUALS,Supertunia Series Petunias,https://idiggreenacres.com/products/supertunia-174-series-petunias?variant=45403416592553,High-confidence estimate,FALSE,,1,2.5,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Annual type matched.
33,ANNUALS,Surefire Cascade Red Begonia,https://idiggreenacres.com/products/surefire-cascade-8482-red-begonia?variant=47035003142313,High-confidence estimate,FALSE,,1,1,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Annual type matched.
34,ANNUALS,Zinnia,https://idiggreenacres.com/products/zinnia?variant=31430671335447,High-confidence estimate,FALSE,,2.5,1.5,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Annual type matched.
35,HERBS AND VEGETABLES,Armenian Cucumbers,https://idiggreenacres.com/products/armenian-cucumbers?variant=14045933305908,Low guesstimate,FALSE,,2,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Edible category only. Exact size needs source. | Broad edible plant category fallback. Verify exact mature size.
36,HERBS AND VEGETABLES,Basil Dark Opal,https://idiggreenacres.com/products/basil-dark-opal?variant=14333160357940,High-confidence estimate,FALSE,,2,1.5,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Herb/vegetable type matched.
37,HERBS AND VEGETABLES,Basil Large Leaf Italian,https://idiggreenacres.com/products/basil-large-leaf-italian-1?variant=41513041690793,High-confidence estimate,FALSE,,2,1.5,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Herb/vegetable type matched.
38,HERBS AND VEGETABLES,Basil Sweet Genovese,https://idiggreenacres.com/products/basil-sweet-genovese?variant=14333274947636,High-confidence estimate,FALSE,,2,1.5,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Herb/vegetable type matched.
39,HERBS AND VEGETABLES,Basil Thai,https://idiggreenacres.com/products/basil-thai?variant=14333370171444,High-confidence estimate,FALSE,,2,1.5,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Herb/vegetable type matched.
40,HERBS AND VEGETABLES,Bitter Melon,https://idiggreenacres.com/products/bitter-melon?variant=41928451293353,High-confidence estimate,FALSE,,1,6,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Herb/vegetable type matched.
41,HERBS AND VEGETABLES,Borage,https://idiggreenacres.com/products/borage?variant=14354239193140,Low guesstimate,FALSE,,2,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Edible category only. Exact size needs source. | Broad edible plant category fallback. Verify exact mature size.
42,HERBS AND VEGETABLES,Bush Bean Blue Lake,https://idiggreenacres.com/products/bush-bean-blue-lake?variant=39356778250409,High-confidence estimate,FALSE,,2,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Herb/vegetable type matched.
43,HERBS AND VEGETABLES,Catnip,https://idiggreenacres.com/products/catnip?variant=14354354438196,High-confidence estimate,FALSE,,2,3,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Herb/vegetable type matched.
44,HERBS AND VEGETABLES,Celery,https://idiggreenacres.com/products/celery?variant=29252479123508,High-confidence estimate,FALSE,,1.5,1.5,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Herb/vegetable type matched.
45,HERBS AND VEGETABLES,Chamomile,https://idiggreenacres.com/products/chamomile?variant=14334442340404,Low guesstimate,FALSE,,2,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Edible category only. Exact size needs source. | Broad edible plant category fallback. Verify exact mature size.
46,HERBS AND VEGETABLES,Chives,https://idiggreenacres.com/products/chives?variant=14333501603892,High-confidence estimate,FALSE,,1.5,1,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Herb/vegetable type matched.
47,HERBS AND VEGETABLES,Chives Garlic,https://idiggreenacres.com/products/chives-garlic?variant=14354496749620,High-confidence estimate,FALSE,,1.5,1,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Herb/vegetable type matched.
48,HERBS AND VEGETABLES,Chives Onion Organic Chives,https://idiggreenacres.com/products/chives-onion-organic-chives?variant=43220862599337,High-confidence estimate,FALSE,,1.5,1,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Herb/vegetable type matched.
49,HERBS AND VEGETABLES,Cilantro Coriander,https://idiggreenacres.com/products/cilantro-coriander?variant=14333609148468,High-confidence estimate,FALSE,,1,1,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Herb/vegetable type matched.
50,HERBS AND VEGETABLES,Collard Greens,https://idiggreenacres.com/products/collard-greens?variant=41315452584105,High-confidence estimate,FALSE,,1.5,1.5,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Herb/vegetable type matched.
51,HERBS AND VEGETABLES,Corn Bicolor,https://idiggreenacres.com/products/corn-bicolor?variant=31218387353623,High-confidence estimate,FALSE,,6,1,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Herb/vegetable type matched.
52,HERBS AND VEGETABLES,Cucamelon,https://idiggreenacres.com/products/cucamelon?variant=41928421802153,High-confidence estimate,FALSE,,1,6,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Herb/vegetable type matched.
53,HERBS AND VEGETABLES,Cucumber Burpless,https://idiggreenacres.com/products/cucumber-burpless?variant=14045957619764,High-confidence estimate,FALSE,,1,6,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Herb/vegetable type matched.
54,HERBS AND VEGETABLES,Cucumber English,https://idiggreenacres.com/products/cucumber-english?variant=14046095212596,High-confidence estimate,FALSE,,1,6,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Herb/vegetable type matched.
55,HERBS AND VEGETABLES,Cucumber Japanese Long,https://idiggreenacres.com/products/cucumber-japanese-long?variant=14046055071796,High-confidence estimate,FALSE,,1,6,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Herb/vegetable type matched.
56,HERBS AND VEGETABLES,Cucumber Lemon,https://idiggreenacres.com/products/cucumber-lemon?variant=14046124179508,High-confidence estimate,FALSE,,1,6,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Herb/vegetable type matched.
57,HERBS AND VEGETABLES,Cucumber Persian,https://idiggreenacres.com/products/cucumber-persian?variant=31207627784215,High-confidence estimate,FALSE,,1,6,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Herb/vegetable type matched.
58,HERBS AND VEGETABLES,Cucumber Pickling Bush,https://idiggreenacres.com/products/cucumber-pickling-bush?variant=14046023876660,High-confidence estimate,FALSE,,1,6,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Herb/vegetable type matched.
59,HERBS AND VEGETABLES,Cucumber Saladmore Bush Hybrid,https://idiggreenacres.com/products/cucumber-saladmore-bush-hybrid?variant=31207675035671,High-confidence estimate,FALSE,,1,6,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Herb/vegetable type matched.
60,HERBS AND VEGETABLES,Cucumber Spartan Valor,https://idiggreenacres.com/products/cucumber-spartan-valor?variant=14046164549684,High-confidence estimate,FALSE,,1,6,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Herb/vegetable type matched.
61,HERBS AND VEGETABLES,Dill,https://idiggreenacres.com/products/dill?variant=14334303043636,High-confidence estimate,FALSE,,3,1.5,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Herb/vegetable type matched.
