Common_Name,Botanical_Name,Category,Plan_Symbol_File,Plan_Symbol_Type,Icon_Label,Plan_Symbol_Color
Zinnia,Zinnia elegans,ANNUALS,80.svg,small-leaf-rosette,Small leaf rosette,#C284AA
Cucumber 'Armenian',Cucumis melo,HERBS AND VEGETABLES,98.svg,trailing-leaf-mass,Trailing leaf mass,#C17CB3
Basil,Ocimum basilicum 'Purpurascens',HERBS AND VEGETABLES,78.svg,airy-vine-cluster,Airy vine cluster,#C492B4
Basil 'Large Leaf Italian',Ocimum basilicum 'Large Leaf Italian',HERBS AND VEGETABLES,61.svg,textured-low-mat,Textured low mat,#BF83AA
Basil,Ocimum basilicum,HERBS AND VEGETABLES,59.svg,lobed-flower,Lobed flower,#D1A4BA
Basil,Ocimum basilicum var. thyrsiflora,HERBS AND VEGETABLES,14.svg,broadleaf-rosette,Broadleaf rosette,#CDA8B9
Bitter Melon,Cucumis sativus,HERBS AND VEGETABLES,37.svg,swirling-grass-vine,Swirling grass/vine,#CB86A8
Borage,Borago officinalis,HERBS AND VEGETABLES,38.svg,vine-leaf-trail,Vine leaf trail,#D2ADC1
Bush Bean 'Blue Lake',Phaseolus vulgaris,HERBS AND VEGETABLES,98.svg,trailing-leaf-mass,Trailing leaf mass,#8086C6
Catnip,Nepeta cataria,HERBS AND VEGETABLES,50.svg,bold-spiky-rosette,Bold spiky rosette,#CE97BC
Celery,Apium graveolens,HERBS AND VEGETABLES,63.svg,round-petal-flower,Round petal flower,#BB81AC
Chamomile,Matricaria chamomilla,HERBS AND VEGETABLES,63.svg,round-petal-flower,Round petal flower,#BE89AC
Chives,Allium schoenoprasum,HERBS AND VEGETABLES,18.svg,spiky-grass-burst,Spiky grass burst,#D8A7CB
Chives 'Garlic',Allium tuberosum,HERBS AND VEGETABLES,42.svg,wispy-upright-grass,Wispy upright grass,#C982AC
Chives,Allium schoenoprasum,HERBS AND VEGETABLES,18.svg,spiky-grass-burst,Spiky grass burst,#D8A7CB
Cilantro/Coriander,Coriandrum sativum,HERBS AND VEGETABLES,36.svg,vine-branching,Vine branching,#C185B2
Collard Greens,Brassica oleracea var. viridis,HERBS AND VEGETABLES,81.svg,round-edible-rosettes,Round edible rosettes,#BF839F
Corn Bicolor,Zea mays,HERBS AND VEGETABLES,62.svg,lobed-groundcover,Lobed groundcover,#C99CB4
Cucamelon,Cucumis sativus,HERBS AND VEGETABLES,98.svg,trailing-leaf-mass,Trailing leaf mass,#D08BC2
Cucumber,Cucumis sativus,HERBS AND VEGETABLES,38.svg,vine-leaf-trail,Vine leaf trail,#C185B0
Cucumber 'English Tender Crisp',Cucumis sativus,HERBS AND VEGETABLES,40.svg,airy-branching-flower,Airy branching flower,#C08BB3
Cucumber 'Japanese Long',Cucumis sativus,HERBS AND VEGETABLES,78.svg,airy-vine-cluster,Airy vine cluster,#D4ABBE
Cucumber 'Lemon',Cucumis sativus,HERBS AND VEGETABLES,98.svg,trailing-leaf-mass,Trailing leaf mass,#D194C2
Cucumber 'Persian',Cucumis sativus,HERBS AND VEGETABLES,38.svg,vine-leaf-trail,Vine leaf trail,#C591AA
Cucumber 'Pickling Bush',Cucumis sativus,HERBS AND VEGETABLES,12.svg,airy-branching-plant,Airy branching plant,#CA82A8
Cucumber 'Saladmore Bush Hybrid',Cucumis sativus,HERBS AND VEGETABLES,38.svg,vine-leaf-trail,Vine leaf trail,#CA9BC1
Cucumber 'Spartan Valor',Cucumis sativus,HERBS AND VEGETABLES,40.svg,airy-branching-flower,Airy branching flower,#D3A6C5
Dill,Anethum graveolens,HERBS AND VEGETABLES,38.svg,vine-leaf-trail,Vine leaf trail,#D09BB6
"Dill, Organic",Anethum graveolens,HERBS AND VEGETABLES,97.svg,round-leaf-vine-canopy,Round leaf vine canopy,#CFAABC
Edamame Beans,Glycine max,HERBS AND VEGETABLES,98.svg,trailing-leaf-mass,Trailing leaf mass,#CF91B6
Eggplant,Solanum melongena,HERBS AND VEGETABLES,61.svg,textured-low-mat,Textured low mat,#CFA5C2
Eggplant 'Cloud Nine',Solanum melongena,HERBS AND VEGETABLES,77.svg,lobed-foliage-accent,Lobed foliage accent,#D39DCE
Eggplant 'Fairytale',Solanum melongena,HERBS AND VEGETABLES,62.svg,lobed-groundcover,Lobed groundcover,#BC7BA0
Eggplant 'Ichiban',Solanum melongena,HERBS AND VEGETABLES,14.svg,broadleaf-rosette,Broadleaf rosette,#BC86AD
Eggplant 'Japanese Long',Solanum melongena,HERBS AND VEGETABLES,99.svg,angular-rosette,Angular rosette,#D2A7CC
Eggplant 'Millionaire',Solanum melongena,HERBS AND VEGETABLES,61.svg,textured-low-mat,Textured low mat,#CF91BF
Fava Bean,Vicia faba,HERBS AND VEGETABLES,85.svg,tangled-vine-mass,Tangled vine mass,#D49BB9
Fennel 'Green Leaf',Foeniculum vulgare,HERBS AND VEGETABLES,14.svg,broadleaf-rosette,Broadleaf rosette,#D6A4BD
"Italian Parsley, Organic",Petroselinum crispum,HERBS AND VEGETABLES,2.svg,round-leaf-cluster,Round leaf cluster,#E092B0
Kale,Brassica oleracea 'Blue Knight',HERBS AND VEGETABLES,96.svg,flowering-rosette-cluster,Flowering rosette cluster,#7E77C5
Kale,Brassica oleracea,HERBS AND VEGETABLES,61.svg,textured-low-mat,Textured low mat,#D09FC4
Kale,Brassica oleracea,HERBS AND VEGETABLES,61.svg,textured-low-mat,Textured low mat,#D09FC4
Lavender,,HERBS AND VEGETABLES,84.svg,round-flower-cluster,Round flower cluster,#8581CB
Lemon Balm,Melissa officinalis,HERBS AND VEGETABLES,81.svg,round-edible-rosettes,Round edible rosettes,#D5AAD0
Lemongrass,,HERBS AND VEGETABLES,108.svg,sharp-radial-grass,Sharp radial grass,#A9AA64
Thyme 'Lemon',Thymus x citriodorus 'Lemon',HERBS AND VEGETABLES,31.svg,small-round-leaf-cluster,Small round leaf cluster,#D8A1CE
Lemon Verbena,Aloysia citrodora,HERBS AND VEGETABLES,37.svg,swirling-grass-vine,Swirling grass/vine,#94BF8D
Marjoram 'Sweet',Origanum majorana,HERBS AND VEGETABLES,63.svg,round-petal-flower,Round petal flower,#C8A2B7
Melon 'Ambrosia Cantaloupe',Cucumis melo,HERBS AND VEGETABLES,86.svg,branching-vine-shrub,Branching vine/shrub,#CE92C5
Melon 'Ball Hybrid Cantaloupe',Cucumis melo,HERBS AND VEGETABLES,36.svg,vine-branching,Vine branching,#CB9AB4
Melon 'Crenshaw',Cucumis melo,HERBS AND VEGETABLES,38.svg,vine-leaf-trail,Vine leaf trail,#D7A8CD
Melon 'Gold Star Cantaloupe',Cucumis melo,HERBS AND VEGETABLES,78.svg,airy-vine-cluster,Airy vine cluster,#E2DC64
Melon 'Hale's Best Cantaloupe',Cucumis melo,HERBS AND VEGETABLES,86.svg,branching-vine-shrub,Branching vine/shrub,#C68AC2
Melon 'Harper's Hybrid Cantaloupe',Cucumis melo,HERBS AND VEGETABLES,37.svg,swirling-grass-vine,Swirling grass/vine,#C181A8
Melon 'Honeydew',Cucumis melo,HERBS AND VEGETABLES,8.svg,flowing-groundcover,Flowing groundcover,#CC8FAE
Melon 'Roadside Cantaloupe',Cucumis melo,HERBS AND VEGETABLES,85.svg,tangled-vine-mass,Tangled vine mass,#C776A6
Mint 'Chocolate',,HERBS AND VEGETABLES,40.svg,airy-branching-flower,Airy branching flower,#D090B2
Mint,,HERBS AND VEGETABLES,19.svg,broadleaf-accent,Broadleaf accent,#C799BD
Mint,Mentha spicata,HERBS AND VEGETABLES,102.svg,flowering-branch-cluster,Flowering branch cluster,#D8A1D1
Tomato 'Momotaro',Solanum lycopersicum,HERBS AND VEGETABLES,79.svg,split-leaf-accent,Split leaf accent,#CA82A3
Okra 'Clemson Spineless',Abelmoschus esculentus,HERBS AND VEGETABLES,77.svg,lobed-foliage-accent,Lobed foliage accent,#C4739E
Okra,Abelmoschus esculentus,HERBS AND VEGETABLES,100.svg,angular-smooth-rosette,Angular smooth rosette,#BA88B2
Onion 'Scallions/Green Onions',Allium cepa,HERBS AND VEGETABLES,25.svg,fine-grass-burst,Fine grass burst,#CAA5C2
Onion 'Shallots',Allium cepa,HERBS AND VEGETABLES,33.svg,strappy-rosette,Strappy rosette,#B582A5
Onion 'Red',Allium cepa,HERBS AND VEGETABLES,83.svg,needle-leaf-clump,Needle leaf clump,#C18AA9
Onion 'White',Allium cepa,HERBS AND VEGETABLES,26.svg,arching-grass-swirl,Arching grass swirl,#C1C6AE
Onion 'Yellow',Allium cepa,HERBS AND VEGETABLES,48.svg,upright-stem-burst,Upright stem burst,#D9A94E
Oregano,Origanum vulgare,HERBS AND VEGETABLES,95.svg,petal-ring-flower,Petal ring flower,#C47DBD
Oregano 'Hot n' Spicy',Origanum vulgare,HERBS AND VEGETABLES,59.svg,lobed-flower,Lobed flower,#D0A0CA
Oregano,Origanum vulgare,HERBS AND VEGETABLES,95.svg,petal-ring-flower,Petal ring flower,#C47DBD
"Cilantro/Coriander, Organic",Coriandrum sativum,HERBS AND VEGETABLES,39.svg,leaf-star-rosette,Leaf star rosette,#C879AC
Melon 'Hearts of Gold Cantaloupe',Cucumis melo,HERBS AND VEGETABLES,98.svg,trailing-leaf-mass,Trailing leaf mass,#DB9A38
Mint,Mentha spicata,HERBS AND VEGETABLES,102.svg,flowering-branch-cluster,Flowering branch cluster,#D8A1D1
Oregano 'Italian' Organic,Origanum vulgare,HERBS AND VEGETABLES,102.svg,flowering-branch-cluster,Flowering branch cluster,#C28ABA
Rosemary 'Barbecue',Rosmarinus officinalis,HERBS AND VEGETABLES,63.svg,round-petal-flower,Round petal flower,#D792A9
Thyme 'English',Thymus vulgaris,HERBS AND VEGETABLES,38.svg,vine-leaf-trail,Vine leaf trail,#D8A2BB
Thyme 'Lemon' Organic,Thymus x citriodorus 'Lemon',HERBS AND VEGETABLES,38.svg,vine-leaf-trail,Vine leaf trail,#BD8FA5
Parsley 'Curly Leaf',Petroselinum crispum,HERBS AND VEGETABLES,78.svg,airy-vine-cluster,Airy vine cluster,#D796C0
Parsley,Petroselinum crispum,HERBS AND VEGETABLES,81.svg,round-edible-rosettes,Round edible rosettes,#D66E8D
Pepper 'Anaheim',Capsicum annuum,HERBS AND VEGETABLES,38.svg,vine-leaf-trail,Vine leaf trail,#D3A2CE
Pepper 'Big Bertha',Capsicum annuum,HERBS AND VEGETABLES,33.svg,strappy-rosette,Strappy rosette,#C28AAA
Pepper 'Calabrian Chile',Capsicum annuum,HERBS AND VEGETABLES,38.svg,vine-leaf-trail,Vine leaf trail,#CB86B7
Pepper 'Caribbean Red',Capsicum annuum,HERBS AND VEGETABLES,81.svg,round-edible-rosettes,Round edible rosettes,#CEA2BD
Pepper,Capsicum annuum,HERBS AND VEGETABLES,61.svg,textured-low-mat,Textured low mat,#BC80AB
Pepper,Capsicum annuum,HERBS AND VEGETABLES,61.svg,textured-low-mat,Textured low mat,#BC80AB
Pepper 'Chile de Arbol',Capsicum annuum,HERBS AND VEGETABLES,38.svg,vine-leaf-trail,Vine leaf trail,#D2ACCA
Pepper 'Eisley Wax',Capsicum annuum,HERBS AND VEGETABLES,100.svg,angular-smooth-rosette,Angular smooth rosette,#CD93C7
Pepper,Capsicum annuum,HERBS AND VEGETABLES,61.svg,textured-low-mat,Textured low mat,#BC80AB
Pepper 'Garden Salsa',Capsicum annuum,HERBS AND VEGETABLES,39.svg,leaf-star-rosette,Leaf star rosette,#D496C1
Pepper,Capsicum annuum,HERBS AND VEGETABLES,61.svg,textured-low-mat,Textured low mat,#BC80AB
Pepper 'Green Bell',Capsicum annuum,HERBS AND VEGETABLES,62.svg,lobed-groundcover,Lobed groundcover,#C383B3
Pepper 'Gypsy',Capsicum annuum,HERBS AND VEGETABLES,81.svg,round-edible-rosettes,Round edible rosettes,#BD85A9
Pepper,Capsicum annuum,HERBS AND VEGETABLES,61.svg,textured-low-mat,Textured low mat,#BC80AB
Pepper,Capsicum annuum,HERBS AND VEGETABLES,61.svg,textured-low-mat,Textured low mat,#BC80AB
Pepper 'Italian Long',Capsicum annuum,HERBS AND VEGETABLES,81.svg,round-edible-rosettes,Round edible rosettes,#BF8CAF
Pepper,Capsicum annuum,HERBS AND VEGETABLES,61.svg,textured-low-mat,Textured low mat,#BC80AB
Pepper 'Jimmy Nardello',Capsicum annuum,HERBS AND VEGETABLES,100.svg,angular-smooth-rosette,Angular smooth rosette,#D4A6C7
Pepper 'Marconi',Capsicum annuum,HERBS AND VEGETABLES,81.svg,round-edible-rosettes,Round edible rosettes,#D2ACC1
Pepper,Capsicum annuum,HERBS AND VEGETABLES,61.svg,textured-low-mat,Textured low mat,#BC80AB
Pepper 'Padron',Capsicum annuum,HERBS AND VEGETABLES,19.svg,broadleaf-accent,Broadleaf accent,#CD9EBE
Pepper 'Pepperoncini',Capsicum annuum,HERBS AND VEGETABLES,84.svg,round-flower-cluster,Round flower cluster,#BD85A9
Pepper,Capsicum annuum,HERBS AND VEGETABLES,61.svg,textured-low-mat,Textured low mat,#BC80AB
Pepper 'Purple Bell',Capsicum annuum,HERBS AND VEGETABLES,14.svg,broadleaf-rosette,Broadleaf rosette,#C9A1BF
Pepper 'Red Bell',Capsicum annuum,HERBS AND VEGETABLES,14.svg,broadleaf-rosette,Broadleaf rosette,#CB4965
Pepper,Capsicum annuum,HERBS AND VEGETABLES,61.svg,textured-low-mat,Textured low mat,#BC80AB
Pepper,Capsicum annuum,HERBS AND VEGETABLES,61.svg,textured-low-mat,Textured low mat,#BC80AB
Pepper,Capsicum annuum,HERBS AND VEGETABLES,61.svg,textured-low-mat,Textured low mat,#BC80AB
Pepper 'Snackabelle Red',Capsicum annuum,HERBS AND VEGETABLES,100.svg,angular-smooth-rosette,Angular smooth rosette,#B7859F
Pepper 'Spanish Sweet',Capsicum annuum,HERBS AND VEGETABLES,84.svg,round-flower-cluster,Round flower cluster,#C893B5
Pepper,Capsicum annuum,HERBS AND VEGETABLES,38.svg,vine-leaf-trail,Vine leaf trail,#BC80AB
Pepper 'Sweet Cherry',Capsicum annuum,HERBS AND VEGETABLES,19.svg,broadleaf-accent,Broadleaf accent,#589B52
Pepper 'Sweet Italian',Capsicum annuum,HERBS AND VEGETABLES,99.svg,angular-rosette,Angular rosette,#D5A4C9
Pepper 'Thai',Capsicum annuum,HERBS AND VEGETABLES,19.svg,broadleaf-accent,Broadleaf accent,#CEA6BC
Pepper,Capsicum annuum,HERBS AND VEGETABLES,61.svg,textured-low-mat,Textured low mat,#BC80AB
Pepper 'Yellow Bell',Capsicum annuum,HERBS AND VEGETABLES,84.svg,round-flower-cluster,Round flower cluster,#DFA648
Pole Bean 'Blue Lake',Phaseolus vulgaris,HERBS AND VEGETABLES,78.svg,airy-vine-cluster,Airy vine cluster,#9CADD4
Pole Bean 'Kentucky Wonder',Phaseolus vulgaris,HERBS AND VEGETABLES,12.svg,airy-branching-plant,Airy branching plant,#C695AE
Pole Bean 'Romano',Phaseolus vulgaris,HERBS AND VEGETABLES,36.svg,vine-branching,Vine branching,#C4799B
Pumpkin,Cucurbita pepo,HERBS AND VEGETABLES,97.svg,round-leaf-vine-canopy,Round leaf vine canopy,#C982B2
Pumpkin 'Jack-O-Lantern',Cucurbita pepo,HERBS AND VEGETABLES,8.svg,flowing-groundcover,Flowing groundcover,#D39CBB
Rosemary Upright,Rosmarinus officinalis,HERBS AND VEGETABLES,97.svg,round-leaf-vine-canopy,Round leaf vine canopy,#E1A1C7
Rue,Ruta graveolens,HERBS AND VEGETABLES,3.svg,leafy-rosette,Leafy rosette,#CA91C2
Sage,Salvia officinalis,HERBS AND VEGETABLES,95.svg,petal-ring-flower,Petal ring flower,#7981BF
Sage 'Berggarten',Salvia officinalis,HERBS AND VEGETABLES,50.svg,bold-spiky-rosette,Bold spiky rosette,#8F90C7
Sage 'Purple',Salvia officinalis,HERBS AND VEGETABLES,103.svg,radial-spike-canopy,Radial spike canopy,#8A8BC2
Sage 'Tricolor',Salvia officinalis,HERBS AND VEGETABLES,72.svg,simple-leaf-rosette,Simple leaf rosette,#A8B0CD
Snap Pea 'Sugar Snap',Pisum sativum macrocarpon,HERBS AND VEGETABLES,85.svg,tangled-vine-mass,Tangled vine mass,#C37A9C
Snow Pea 'Oregon Sugar Pod',Pisum sativum saccharatum,HERBS AND VEGETABLES,38.svg,vine-leaf-trail,Vine leaf trail,#B8BDA8
Spinach,Spinacia oleracea,HERBS AND VEGETABLES,38.svg,vine-leaf-trail,Vine leaf trail,#C176A4
Squash 'Banana',Cucurbita maxima,HERBS AND VEGETABLES,79.svg,split-leaf-accent,Split leaf accent,#D0A4CB
Squash 'Butternut',Cucurbita moschata,HERBS AND VEGETABLES,43.svg,fern-branching,Fern/branching foliage,#C185B8
Squash 'Eight Ball Zucchini',Cucurbita pepo,HERBS AND VEGETABLES,97.svg,round-leaf-vine-canopy,Round leaf vine canopy,#BC80A1
Squash 'Gold Rush Zucchini',Cucurbita pepo,HERBS AND VEGETABLES,71.svg,fern-palmate,Fern palmate,#DAB543
Squash,Cucurbita pepo,HERBS AND VEGETABLES,78.svg,airy-vine-cluster,Airy vine cluster,#CD98B7
Squash 'Magda',Cucurbita pepo,HERBS AND VEGETABLES,98.svg,trailing-leaf-mass,Trailing leaf mass,#CCA9B9
Squash 'Peter Pan',Cucurbita pepo,HERBS AND VEGETABLES,43.svg,fern-branching,Fern/branching foliage,#CE97BA
Squash 'Spaghetti',Cucurbita pepo,HERBS AND VEGETABLES,8.svg,flowing-groundcover,Flowing groundcover,#C98DBE
Squash 'Sunburst',Cucurbita pepo,HERBS AND VEGETABLES,86.svg,branching-vine-shrub,Branching vine/shrub,#C98DB6
Squash 'Table Ace',Cucurbita pepo,HERBS AND VEGETABLES,85.svg,tangled-vine-mass,Tangled vine mass,#C79EBC
Squash,Cucurbita pepo,HERBS AND VEGETABLES,78.svg,airy-vine-cluster,Airy vine cluster,#CD98B7
Squash 'Zephyr',Cucurbita pepo,HERBS AND VEGETABLES,98.svg,trailing-leaf-mass,Trailing leaf mass,#C284AB
Stevia,,HERBS AND VEGETABLES,84.svg,round-flower-cluster,Round flower cluster,#C89DB2
"Sweet Lavender, Organic",,HERBS AND VEGETABLES,45.svg,radial-flower-rosette,Radial flower rosette,#9A9AD6
Tarragon,Artemisia dracunculus,HERBS AND VEGETABLES,19.svg,broadleaf-accent,Broadleaf accent,#D6A4BC
Thyme,Thymus vulgaris,HERBS AND VEGETABLES,31.svg,small-round-leaf-cluster,Small round leaf cluster,#C58CAC
Thyme 'French',Thymus vulgaris,HERBS AND VEGETABLES,62.svg,lobed-groundcover,Lobed groundcover,#D6A4BB
Tomatillo,Physalis philadelphica,HERBS AND VEGETABLES,61.svg,textured-low-mat,Textured low mat,#CB95B6
Tomato 'Ace',Solanum lycopersicum,HERBS AND VEGETABLES,77.svg,lobed-foliage-accent,Lobed foliage accent,#C473BB
Tomato 'Amish Paste',Solanum lycopersicum,HERBS AND VEGETABLES,38.svg,vine-leaf-trail,Vine leaf trail,#B7809F
Tomato 'Barry's Crazy Cherry',Wild Boar Farms,HERBS AND VEGETABLES,14.svg,broadleaf-rosette,Broadleaf rosette,#76B471
Tomato 'Beef Master',Solanum lycopersicum,HERBS AND VEGETABLES,84.svg,round-flower-cluster,Round flower cluster,#CE8DBA
Tomato 'Beefsteak',Solanum lycopersicum,HERBS AND VEGETABLES,99.svg,angular-rosette,Angular rosette,#C988B5
Tomato,Solanum lycopersicum,HERBS AND VEGETABLES,84.svg,round-flower-cluster,Round flower cluster,#D0A9C6
Tomato,Solanum lycopersicum,HERBS AND VEGETABLES,84.svg,round-flower-cluster,Round flower cluster,#D0A9C6
Tomato 'Black Beauty',Wild Boar Farms,HERBS AND VEGETABLES,99.svg,angular-rosette,Angular rosette,#BF83A9
Tomato,Solanum lycopersicum,HERBS AND VEGETABLES,84.svg,round-flower-cluster,Round flower cluster,#D0A9C6
Tomato 'Black Krim',Solanum lycopersicum,HERBS AND VEGETABLES,33.svg,strappy-rosette,Strappy rosette,#C784C2
Tomato 'Blue Berries',Wild Boar Farms,HERBS AND VEGETABLES,38.svg,vine-leaf-trail,Vine leaf trail,#92A5D3
Tomato 'Brad's Atomic Grape',Wild Boar Farms,HERBS AND VEGETABLES,37.svg,swirling-grass-vine,Swirling grass/vine,#CBA4C5
Tomato 'Brandy Boy',Solanum lycopersicum,HERBS AND VEGETABLES,27.svg,succulent-star-rosette,Succulent star rosette,#BE7FB3
Tomato 'Red Brandywine',Solanum lycopersicum,HERBS AND VEGETABLES,61.svg,textured-low-mat,Textured low mat,#CB5B4E
Tomato 'Bull's Heart',Solanum lycopersicum,HERBS AND VEGETABLES,39.svg,leaf-star-rosette,Leaf star rosette,#C98DAB
Tomato 'Caspian Pink',Solanum lycopersicum,HERBS AND VEGETABLES,61.svg,textured-low-mat,Textured low mat,#DFA3CE
Tomato,Solanum lycopersicum,HERBS AND VEGETABLES,84.svg,round-flower-cluster,Round flower cluster,#D0A9C6
Tomato 'Champion',Solanum lycopersicum,HERBS AND VEGETABLES,27.svg,succulent-star-rosette,Succulent star rosette,#D9A6C4
Tomato,Solanum lycopersicum,HERBS AND VEGETABLES,84.svg,round-flower-cluster,Round flower cluster,#D0A9C6
Tomato 'Chocolate Sprinkles',Solanum lycopersicum,HERBS AND VEGETABLES,99.svg,angular-rosette,Angular rosette,#C181BA
Tomato,Solanum lycopersicum,HERBS AND VEGETABLES,84.svg,round-flower-cluster,Round flower cluster,#D0A9C6
Tomato 'Fantastico',Solanum lycopersicum,HERBS AND VEGETABLES,39.svg,leaf-star-rosette,Leaf star rosette,#BF92B2
Tomato 'Fourth of July',Solanum lycopersicum,HERBS AND VEGETABLES,39.svg,leaf-star-rosette,Leaf star rosette,#CF91C3
Tomato 'German Johnson',Solanum lycopersicum,HERBS AND VEGETABLES,19.svg,broadleaf-accent,Broadleaf accent,#CB9FC5
Tomato 'Goliath',Solanum lycopersicum,HERBS AND VEGETABLES,77.svg,lobed-foliage-accent,Lobed foliage accent,#BA88A5
Tomato 'Green Zebra',Solanum lycopersicum,HERBS AND VEGETABLES,38.svg,vine-leaf-trail,Vine leaf trail,#CE9CBB
Tomato 'Hillbilly',Solanum lycopersicum,HERBS AND VEGETABLES,84.svg,round-flower-cluster,Round flower cluster,#D0AAC4
Tomato,Solanum lycopersicum,HERBS AND VEGETABLES,84.svg,round-flower-cluster,Round flower cluster,#D0A9C6
Tomato 'Isis Candy',Solanum lycopersicum,HERBS AND VEGETABLES,62.svg,lobed-groundcover,Lobed groundcover,#D09ABB
Tomato 'Jelly Bean',Solanum lycopersicum,HERBS AND VEGETABLES,61.svg,textured-low-mat,Textured low mat,#D1A8C5
Tomato 'Jetsetter',Solanum lycopersicum,HERBS AND VEGETABLES,77.svg,lobed-foliage-accent,Lobed foliage accent,#C077B1
Tomato 'Juliet',Solanum lycopersicum,HERBS AND VEGETABLES,99.svg,angular-rosette,Angular rosette,#CE8DB2
Tomato 'Kellogg's Breakfast',Solanum lycopersicum,HERBS AND VEGETABLES,62.svg,lobed-groundcover,Lobed groundcover,#D8A2C6
Tomato,Solanum lycopersicum,HERBS AND VEGETABLES,84.svg,round-flower-cluster,Round flower cluster,#D0A9C6
Tomato 'Mortgage Lifter',Solanum lycopersicum,HERBS AND VEGETABLES,77.svg,lobed-foliage-accent,Lobed foliage accent,#C784BD
Tomato 'Mr. Stripey',Solanum lycopersicum,HERBS AND VEGETABLES,77.svg,lobed-foliage-accent,Lobed foliage accent,#BF8CB7
Tomato 'Napa Chardonnay',Wild Boar Farms,HERBS AND VEGETABLES,81.svg,round-edible-rosettes,Round edible rosettes,#BA829E
Tomato 'Napa Ros??',Wild Boar Farms,HERBS AND VEGETABLES,33.svg,strappy-rosette,Strappy rosette,#CD9EBD
Tomato 'Patio',Solanum lycopersicum,HERBS AND VEGETABLES,84.svg,round-flower-cluster,Round flower cluster,#D8A7D4
Tomato 'Pineapple',Solanum lycopersicum,HERBS AND VEGETABLES,84.svg,round-flower-cluster,Round flower cluster,#7CB16B
